술이 문제야,"장혜진, 윤민수"
Snapping,청하
너에게 못했던 내 마지막 말은,다비치
헤어져줘서 고마워,벤
Speechless (Full),Naomi Scott
사랑에 연습이 있었다면 (Prod. 2soo),임재현
솔직하게 말해서 나,김나영
2002,Anne-Marie
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"방탄소년단, Halsey"
bad guy,Billie Eilish
술이 문제야,"장혜진, 윤민수"
Snapping,청하
너에게 못했던 내 마지막 말은,다비치
헤어져줘서 고마워,벤
사랑에 연습이 있었다면 (Prod. 2soo),임재현
솔직하게 말해서 나,김나영
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"방탄소년단, Halsey"
FANCY,TWICE(트와이스)
짐살라빔 (Zimzalabim),Red Velvet (레드벨벳)
BIRTHDAY,전소미
Speechless (Full),Naomi Scott
2002,Anne-Marie
bad guy,Billie Eilish
A Whole New World,"Mena Massoud, Naomi Scott"
Arabian Nights (2019),Will Smith
I Don't Care,"Ed Sheeran, Justin Bieber"
Prince Ali,Will Smith
If I Can't Have You,Shawn Mendes
FRIENDS,"Marshmello, Anne-Marie"
Señorita,"Shawn Mendes, Camila Cabello"
걸그룹 머큐리 강남역 쇼케이스 토크인사 with 리미트리스,"

리미트리스(Limitless) 

"
그대의 것,"

구만(9.10000) 

"
알라딘 OST : Prince Ali Piano cover,"

상어오브뮤직 

"
알라딘 ost (Aladdin) - A Whole New World,"

로드타운 ROADTOWN 

"
"산책의 즐거움 , 종로에서 광화문까지","

서울재즈빅밴드 

"
0AM  ( Prod. by EJO ),"

콜리 (Call Lee) 

"
알라딘 OST - Speechless 피아노 버전,"

플로우뮤직(Flow Music) 

"
여름밤(demo ver.) (멜로망스's Hidden Track),"

멜로망스 

"
지나가면 (feat. Chaanill),"

Holmsted 

"
Pine Tree,"

Palebabyblue 

"
